"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 16:59:57 MSK 2025","Tue Feb 11 16:59:58 MSK 2025","862","","ru.api.tests.UserLoginTest","","ru.api.tests.UserLoginTest","loginWithExistingUserTest","loginWithExistingUserTest","Логин под существующим пользователем с проверкой успешного ответа"
"failed","Tue Feb 11 16:59:56 MSK 2025","Tue Feb 11 16:59:56 MSK 2025","353","","ru.api.tests.UserLoginTest","","ru.api.tests.UserLoginTest","loginWithInvalidLogin","loginWithInvalidLogin","Логин с неверным именем, пароль верный"
"passed","Tue Feb 11 16:59:44 MSK 2025","Tue Feb 11 16:59:45 MSK 2025","970","","ru.api.tests.OrderCreationTest","","ru.api.tests.OrderCreationTest","createOrderWithAuthorizationAndNoIngredients","createOrderWithAuthorizationAndNoIngredients","Создание заказа с авторизацией но без ингредиентов"
"passed","Tue Feb 11 17:00:01 MSK 2025","Tue Feb 11 17:00:01 MSK 2025","108","","ru.api.tests.UserOrdersTest","","ru.api.tests.UserOrdersTest","createOrderAndGetUserOrdersWithoutAuthorization","createOrderAndGetUserOrdersWithoutAuthorization","Проверка создания заказа и получения списка заказов без авторизации"
"passed","Tue Feb 11 16:59:52 MSK 2025","Tue Feb 11 16:59:53 MSK 2025","823","","ru.api.tests.UserDataUpdateTest","","ru.api.tests.UserDataUpdateTest","updateUserWithoutAuthorizationName","updateUserWithoutAuthorizationName","Изменение имени пользователя без авторизации"
"passed","Tue Feb 11 16:59:45 MSK 2025","Tue Feb 11 16:59:48 MSK 2025","2765","","ru.api.tests.OrderCreationTest","","ru.api.tests.OrderCreationTest","createOrderWithAuthorization","createOrderWithAuthorization","Создание заказа с авторизацией и с ингредиентами"
"failed","Tue Feb 11 16:59:48 MSK 2025","Tue Feb 11 16:59:49 MSK 2025","927","","ru.api.tests.UserCreationTest","","ru.api.tests.UserCreationTest","createExistingUser","createExistingUser","Создание зарегистрированного пользователя и проверка на ошибку повторной регистрации"
"passed","Tue Feb 11 16:59:50 MSK 2025","Tue Feb 11 16:59:50 MSK 2025","858","","ru.api.tests.UserDataUpdateTest","","ru.api.tests.UserDataUpdateTest","updateUserWithAuthorizationName","updateUserWithAuthorizationName","Изменение имени пользователя с авторизацией"
"passed","Tue Feb 11 16:59:55 MSK 2025","Tue Feb 11 16:59:56 MSK 2025","842","","ru.api.tests.UserDataUpdateTest","","ru.api.tests.UserDataUpdateTest","updateUserWithoutAuthorizationEmail","updateUserWithoutAuthorizationEmail","Изменение email пользователя без авторизации"
"passed","Tue Feb 11 16:59:51 MSK 2025","Tue Feb 11 16:59:52 MSK 2025","927","","ru.api.tests.UserDataUpdateTest","","ru.api.tests.UserDataUpdateTest","updateUserWithAuthorizationEmail","updateUserWithAuthorizationEmail","Изменение email пользователя с авторизацией"
